id,name,category,size,price,description,upsell
turkey_6,Turkey Breast,sub,6 inch,6.99,Turkey breast with lettuce tomato onion and choice of sauce,Make it a combo with chips and a fountain drink
turkey_12,Turkey Breast,sub,footlong,11.99,Turkey breast footlong with fresh vegetables and sauce,Add a cookie for dessert
italian_bmt_6,Italian BMT,sub,6 inch,7.49,Salami pepperoni ham cheese vegetables and sauce,Make it a combo with chips and a fountain drink
italian_bmt_12,Italian BMT,sub,footlong,12.99,Salami pepperoni ham cheese vegetables and sauce,Add double meat for a heartier meal
tuna_6,Tuna,sub,6 inch,6.79,Tuna salad with vegetables and sauce,Add a fountain drink
tuna_12,Tuna,sub,footlong,11.49,Tuna salad footlong with vegetables and sauce,Make it a combo with chips and a fountain drink
veggie_6,Veggie Delite,sub,6 inch,5.99,Fresh vegetables with cheese and sauce,Add avocado and a drink
chicken_6,Rotisserie Chicken,sub,6 inch,7.99,Rotisserie-style chicken with vegetables and sauce,Make it a combo with chips and a drink
chicken_12,Rotisserie Chicken,sub,footlong,13.49,Rotisserie-style chicken footlong with vegetables and sauce,Add a cookie for dessert
steak_6,Steak and Cheese,sub,6 inch,8.49,Steak cheese peppers onions and sauce,Make it a combo with chips and a fountain drink
steak_12,Steak and Cheese,sub,footlong,14.49,Steak cheese peppers onions and sauce,Add double cheese
chopped_salad,Chopped Turkey Salad,salad,regular,8.99,Turkey salad with mixed vegetables and dressing,Add a bottled water
chips,Chips,side,bag,1.79,Assorted chips,Add a fountain drink
cookie,Chocolate Chip Cookie,side,each,0.99,Fresh baked cookie,Add two more cookies for the table
drink,Fountain Drink,drink,regular,2.49,Regular fountain drink,Upgrade to large
bottled_water,Bottled Water,drink,bottle,1.99,Cold bottled water,Add chips
combo,Combo Upgrade,combo,regular,3.99,Add chips and a regular fountain drink,Add a cookie for 0.99
